governmentshapeid	governmentsubmunicipality	governmentmunicipality	governmentcounty	governmentstate	governmentshapenotes	governmentshapegeometry	governmentshapereference	governmentshapetag	governmentshapeplsstownship	governmentward	governmentschooldistrict
10669	4815	5804	360	9		0103000020E61000000100000024000000B53A4BBC49F252C0539BBAFD0BD84340BD8A8C0E48F252C0D50451F701D843401C3DA02D48F252C08F241D76F5D74340AF52E99C4DF252C04D342899F5D74340488F4ABB4DF252C004761C13EED7434059084CE64DF252C041ACDE6CE3D74340FC850FEF50F252C0D1625E7FE3D7434099E6341E57F252C0008908A5E3D74340623606F760F252C0A44200E1E3D74340EFAA11EB60F252C0F6F4BD3CE1D743401DA819DE60F252C0DE2E555FDED743406C7676FB60F252C085AA8462D8D74340A0A143616BF252C0CCA30792D8D743407A972E636BF252C0D429B16BDDD743402275B9686BF252C094E9E955EBD74340FF2030646BF252C01BC712D9F5D74340036AE5556BF252C00C751414F8D743405E6ABC3E6BF252C0F36F67B1FBD74340EEF4AB486BF252C00521C40B06D84340FB81FC9D69F252C066E48CFE05D84340D9F9E09C67F252C0BD51A6EE05D84340DBB3051367F252C082B7F5C905D84340EFD81B3D66F252C01A25059105D843406C526C3C65F252C066779FBE05D8434050843A6564F252C002F4DAE405D84340BF471B8663F252C0ACEE286606D84340DFC61E4762F252C0CF0EF8E706D8434037A5524F61F252C00EDB9BE506D84340B84FC3175FF252C08106995507D843403C92570F5DF252C0998647BC07D84340575659D759F252C04BAFDB5E08D843400A29744456F252C01D82BB1309D84340B15BD22F51F252C09A773D170AD84340C2DB99BD4CF252C0EBE057FA0AD8434028ABC6BC4AF252C0BA53A7600BD84340B53A4BBC49F252C0539BBAFD0BD84340	10669		\N	\N	\N
11178	4815	5804	360	9		0103000020E61000000100000020000000B932A83638F252C0CD8E54DFF9D743403B2C59A938F252C0CEBA9825F5D743406DEA749A39F252C0AAE9CF09F5D74340D9E9D0B93AF252C065A7B7E8F4D74340C021A5553BF252C02A7EC6D6F4D74340CBEDF3623CF252C0AFB94104F5D743405A48246A3DF252C08FB5B430F5D74340FEBCF44C40F252C0850B5543F5D74340F274E36E44F252C00387F75DF5D743401C3DA02D48F252C08F241D76F5D74340BD8A8C0E48F252C0D50451F701D84340B53A4BBC49F252C0539BBAFD0BD84340F990840047F252C081BD5BDD0CD843405CF6C79E44F252C08D2A726A0DD84340EAF23CFC41F252C0E44971060ED843406CCCC20940F252C083E66B320ED84340C3F61EFA3DF252C090A3F9600ED843402BA6A9FD3DF252C021ABA98D0DD8434072AD76043EF252C05F27D7F80BD843405CE34E963BF252C05B374E060CD843407B10E7A339F252C0E2651A110CD8434067F56D5D39F252C0FBDE17CA0DD84340102D960F39F252C0F82E1D800FD84340626E18AB38F252C08AB566DE11D843406AA786C337F252C04ED8FFD116D84340631B80C536F252C034BE88BC1CD84340A252BCE435F252C0C0B20A3E22D84340CE378F2135F252C0A35754AB26D843403E93FDF334F252C0EB1B98DC28D8434093253E8036F252C069416D3F0DD84340797764AC36F252C0410C74ED0BD84340B932A83638F252C0CD8E54DFF9D74340	11178		\N	\N	\N
14898	4815	5804	360	9		0103000020E6100000010000000F00000046FDF9394BF252C0AA616E7496D9434083F221B93EF252C04F4B5138AED94340A4D057EF37F252C0764B9C3FA6D94340CBA4851630F252C0950F6CE59FD94340E81CF40A38F252C094ED2CC589D9434039059D763BF252C0E0686B018BD9434065CF27613DF252C0EFB18EFE8BD94340947B93783EF252C0DFA3142C8ED94340FEFC2EB13FF252C03BF9962D8FD94340AFC9132F40F252C0D3FD917091D94340F2C13B6441F252C095250ECD93D943406109434543F252C0CB9FBF6194D94340B4DADB3047F252C0B65DD65592D94340B0339B8B49F252C0F2B7BA9A93D9434046FDF9394BF252C0AA616E7496D94340	14898		\N	\N	\N
14920	4815	5804	360	9		0103000020E6100000010000000500000077FDCD9325F252C02824A48A04D94340F924FCF31BF252C090AB5AD4FCD8434094F82ED81EF252C054FB831DF1D843408EAC7CF628F252C0E38909AFF9D8434077FDCD9325F252C02824A48A04D94340	14920		\N	\N	\N
14935	4815	5804	360	9		0103000020E6100000010000001100000016D482C94CF252C0A4DF684AA8D94340A90422E94EF252C01DC7CE67A9D94340EF65509150F252C066BA5417AAD94340BE89DB8955F252C085BC13FAA9D94340C6E68B6C57F252C00BB4176FAAD94340602A48AE5AF252C05F96A508ACD94340C0FBDD315DF252C05F96A508ACD9434015DE6BCB5EF252C09C9A23CEABD94340CA85634061F252C0998C26F0AAD943404A7E32E660F252C046A2DC6BBCD943409A2121E660F252C01405666FBCD94340DDB99C375FF252C02E391D79BED94340D336DDB854F252C0A67F0FC6BDD94340C3CA68FF4EF252C0D09CBBD6BCD94340BAE8B2674BF252C0FC9A72C4BAD94340A375689447F252C00D725ED1B7D9434016D482C94CF252C0A4DF684AA8D94340	14935		\N	\N	\N
14941	4815	5804	360	9		0103000020E6100000010000001000000080E4C53433F252C050D9DE183BD84340AEEF58EE34F252C06B6D121F29D8434063CC05DD38F252C0DD5D6DE22CD84340404660963AF252C0815563E72FD84340E693A4CF3BF252C0318379232FD84340245FFCC03EF252C0320FAD7F2FD843404B8885B940F252C0FF32266031D84340EE6F247843F252C0034FB16A39D84340543D3C6046F252C0DBE640FA39D84340DC66019B47F252C00F607B8E3BD843408BA6779C47F252C0BD595C903BD84340BDCFE3CE35F252C0AEB9B5D850D84340F7DAA2C535F252C0D623C3E350D8434060A0563934F252C09681BD6750D84340A7E4391634F252C0F49374483BD8434080E4C53433F252C050D9DE183BD84340	14941		\N	\N	\N
14952	4815	5804	360	9		0103000020E61000000100000006000000730D30563AF252C0C207DB95B6D84340D95F1EF141F252C014619DD7BBD84340DBC7B7343EF252C0A8274B66CDD84340EDE568313EF252C01A5ED275CDD843406403655935F252C0F854ADB2C6D84340730D30563AF252C0C207DB95B6D84340	14952		\N	\N	\N
14953	4815	5804	360	9		0103000020E6100000010000000E0000007383659129F252C07BC33F8A9FD843409E8F324031F252C0553F8A794FD84340362C9A4433F252C09F52261B50D8434060A0563934F252C09681BD6750D84340F7DAA2C535F252C0D623C3E350D843402D2E080544F252C0F416D1C85BD84340213AD82640F252C00FEE964370D843402AE3FF7240F252C02B7FA1F583D84340CF31D55C48F252C0059ADAAA9DD84340D95F1EF141F252C014619DD7BBD84340730D30563AF252C0C207DB95B6D8434046E56F1134F252C05C6D51DFB1D84340548829FD36F252C0B3F229E6A9D843407383659129F252C07BC33F8A9FD84340	14953		\N	\N	\N
14962	4815	5804	360	9		0103000020E61000000100000009000000516F4CC541F252C04621396E96D743408681AABE47F252C09B507B9A59D74340062CD96B49F252C0C68BFDB042D74340C20C44CE69F252C0C3AC1A6862D74340922FD81353F252C0838917FF8CD743401D42920150F252C077A69EAE90D7434095925C0648F252C09AC8686194D743408BFBACF445F252C014C4321995D74340516F4CC541F252C04621396E96D74340	14962		\N	\N	\N
14976	4815	5804	360	9		0103000020E61000000100000005000000362C9A4433F252C09F52261B50D8434080E4C53433F252C050D9DE183BD84340A7E4391634F252C0F49374483BD8434060A0563934F252C09681BD6750D84340362C9A4433F252C09F52261B50D84340	14976		\N	\N	\N
14984	\N	7955	360	9		0103000020E610000001000000050000004AEC63DF77F252C0D0EBF4E9DED34340AED3A00C78F252C0AF2C3568D9D34340580AF5AF7AF252C0C81175CBDCD34340288D53DA78F252C0A2331933E0D343404AEC63DF77F252C0D0EBF4E9DED34340	14984		\N	\N	\N
14998	4815	5804	360	9		0103000020E6100000010000002C0000009010171110F252C01B115E6564D94340F924FCF31BF252C090AB5AD4FCD8434077FDCD9325F252C02824A48A04D94340BF84651242F252C09F3DE23119D94340ACC1361664F252C01D7ED6AD30D9434093E8778163F252C0383ED9123BD94340CA85634061F252C0998C26F0AAD9434015DE6BCB5EF252C09C9A23CEABD94340C0FBDD315DF252C05F96A508ACD94340602A48AE5AF252C05F96A508ACD94340C6E68B6C57F252C00BB4176FAAD94340BE89DB8955F252C085BC13FAA9D94340EF65509150F252C066BA5417AAD94340A90422E94EF252C01DC7CE67A9D9434016D482C94CF252C0A4DF684AA8D9434083591AC04BF252C0B6F21120A6D94340016B2BAD4CF252C07E6888EBA1D94340AAF13B594CF252C08511CF539FD9434006E8FBB94BF252C0601BC6259DD9434046FDF9394BF252C0AA616E7496D94340B0339B8B49F252C0F2B7BA9A93D94340B4DADB3047F252C0B65DD65592D943406109434543F252C0CB9FBF6194D94340F2C13B6441F252C095250ECD93D94340AFC9132F40F252C0D3FD917091D94340FEFC2EB13FF252C03BF9962D8FD94340947B93783EF252C0DFA3142C8ED9434065CF27613DF252C0EFB18EFE8BD9434039059D763BF252C0E0686B018BD94340E81CF40A38F252C094ED2CC589D943404979E28537F252C0FE231E9589D9434030C4157235F252C00AB3B3CD83D9434052A5913633F252C0A3A34F9781D943405FF65AEE30F252C0F7142AE57DD943409692E2792EF252C0D6F9E49F7BD94340A6EE782229F252C07800A56D77D943404361E6A126F252C0324FDDFA74D9434003479A1725F252C062C0F4D172D94340281563C422F252C0F3740CB370D94340146CC6731FF252C09DB013A16CD943403688A8421BF252C08E0236DA69D943402134270017F252C0E3F5A2C667D94340C5A095FF13F252C02BDA025165D943409010171110F252C01B115E6564D94340	14998		\N	\N	\N
15014	4815	7955	360	9		0103000020E610000001000000120000007189857878F252C06DE5EC45CCD34340E1974CFE78F252C0CD9FD6D525D34340EA8F2C4B79F252C0FA7468F12DD34340A1E7A6B479F252C08265B3AA37D34340C4444AB379F252C070D828EB37D343408812F4177AF252C0C840102043D34340DC6C73637AF252C0B85A99F04BD3434088F84ECC7AF252C000E17CEA58D3434034842A357BF252C0F81B5F7B66D343401094A2957BF252C0101EA67D73D343407C30F0DC7BF252C0C8D18E1B7ED34340D070CADC7CF252C0F9315871AAD34340E0DBBB067DF252C050CE893DB4D343403DCDA4357DF252C026FA4C90BFD3434007C911467DF252C0968D4D39C3D3434029EB88347DF252C058AB8A50C3D3434064F1DCDD7CF252C06BFB8AF4C3D343407189857878F252C06DE5EC45CCD34340	15014		\N	\N	\N
15034	4815	5804	360	9		0103000020E6100000010000000400000080E4C53433F252C050D9DE183BD84340362C9A4433F252C09F52261B50D843409E8F324031F252C0553F8A794FD8434080E4C53433F252C050D9DE183BD84340	15034		\N	\N	\N
37594	4815	5804	360	9		0103000020E6100000010000000B000000372D706078F252C0E54C7489F5D54340352E786078F252C09D6AF87D8ED643405653E5EF75F252C08D8F644D8FD64340E5CF9EF959F252C035EE4F0A99D64340EB2FDB5B5DF252C02041397772D6434093F33BE360F252C0DABEC6F141D643407E2AAFF263F252C06D82B63610D64340F16A0FD864F252C0246B5AA701D64340BB79AA436EF252C032207BBDFBD54340DB02C3C274F252C024644AC1F7D54340372D706078F252C0E54C7489F5D54340	37594		\N	\N	\N
37595	\N	5804	360	9		0103000020E610000001000000080000009581B55778F252C0210E5543D7D64340E4ABEF3E78F252C0D99C6955F6D64340BEEDEF3E78F252C03579B33FFBD64340B1751F3F78F252C0056B12A7FBD6434075229BB162F252C0D77F2547F8D643409F60C14364F252C083707155D9D6434084BBA04A64F252C01265B354D9D643409581B55778F252C0210E5543D7D64340	37595		\N	\N	\N
37596	4815	5804	360	9		0103000020E6100000010000001300000073CFB84F78F252C0032797C01FD743409FEEB84F78F252C0A02A2E1422D7434081E9842178F252C0355DEF2F22D7434033F17DE976F252C04A92A8B222D743401020601C57F252C045CF5E0530D743403F52BE1357F252C0E8C1FB0830D7434008F2D96E4AF252C0004F48DD34D74340593BA2F258F252C03A255CC0A4D64340E5CF9EF959F252C035EE4F0A99D643405653E5EF75F252C08D8F644D8FD64340352E786078F252C09D6AF87D8ED64340987F7B6078F252C0EE6BE4E5CDD64340357A185878F252C0114133C7D6D643409581B55778F252C0210E5543D7D6434084BBA04A64F252C01265B354D9D643409F60C14364F252C083707155D9D6434075229BB162F252C0D77F2547F8D64340B1751F3F78F252C0056B12A7FBD6434073CFB84F78F252C0032797C01FD74340	37596		\N	\N	\N
37598	4815	5804	360	9		0103000020E6100000010000000D000000B501E51D78F252C0ADC3824A26D74340D828B94F78F252C08E31DB6C26D743401869B94F78F252C0E2D398382BD7434047D7B94F78F252C02F13227233D7434051B2884B78F252C0EB45C0E13ED743400BC0884B78F252C026AA0EE83FD74340392C61B56CF252C0A41574BB3FD74340FC8695AB6CF252C0A137762038D74340C6F7BFAB6CF252C09268BF1638D743408312D3E96CF252C05D3837EF29D74340166320F16CF252C00E79E7EB29D743408B5F61ED76F252C04422A66125D74340B501E51D78F252C0ADC3824A26D74340	37598		\N	\N	\N
37599	\N	5804	360	9		0103000020E6100000010000000F00000081E9842178F252C0355DEF2F22D743409FEEB84F78F252C0A02A2E1422D743400117B94F78F252C0BD3DEE1725D74340D828B94F78F252C08E31DB6C26D74340B501E51D78F252C0ADC3824A26D743408B5F61ED76F252C04422A66125D74340166320F16CF252C00E79E7EB29D743408312D3E96CF252C05D3837EF29D74340C6F7BFAB6CF252C09268BF1638D74340FC8695AB6CF252C0A137762038D7434049641F6459F252C07AFCDEA63FD743403F52BE1357F252C0E8C1FB0830D743401020601C57F252C045CF5E0530D7434033F17DE976F252C04A92A8B222D7434081E9842178F252C0355DEF2F22D74340	37599		\N	\N	\N
37600	4815	5804	360	9		0103000020E6100000010000000A0000000BC0884B78F252C026AA0EE83FD743404B14894B78F252C0F01E153246D74340C20C44CE69F252C0C3AC1A6862D74340062CD96B49F252C0C68BFDB042D7434008F2D96E4AF252C0004F48DD34D743403F52BE1357F252C0E8C1FB0830D7434049641F6459F252C07AFCDEA63FD74340FC8695AB6CF252C0A137762038D74340392C61B56CF252C0A41574BB3FD743400BC0884B78F252C026AA0EE83FD74340	37600		\N	\N	\N
37601	4815	5804	360	9		0103000020E6100000010000000C000000C20C44CE69F252C0C3AC1A6862D743404B14894B78F252C0F01E153246D74340C349894B78F252C0968DD02F4AD74340AD60894B78F252C0351EA8E54BD74340C93B873254F252C08C6665FB90D74340C398F4F752F252C06D19709692D74340718C648F50F252C0C03FA54A94D74340D5CC5A0A48F252C083A5BA8097D7434095925C0648F252C09AC8686194D743401D42920150F252C077A69EAE90D74340922FD81353F252C0838917FF8CD74340C20C44CE69F252C0C3AC1A6862D74340	37601		\N	\N	\N
37602	\N	5804	360	9		0103000020E6100000010000002D0000002CDB76FD75F252C0EE6730A0C3D74340B669FA3E78F252C0B5858A97C3D743408FAD993678F252C054F5D626F8D74340036AE5556BF252C00C751414F8D74340FF2030646BF252C01BC712D9F5D743402275B9686BF252C094E9E955EBD743407A972E636BF252C0D429B16BDDD74340A0A143616BF252C0CCA30792D8D743406C7676FB60F252C085AA8462D8D743401DA819DE60F252C0DE2E555FDED74340EFAA11EB60F252C0F6F4BD3CE1D74340623606F760F252C0A44200E1E3D7434099E6341E57F252C0008908A5E3D74340FC850FEF50F252C0D1625E7FE3D7434059084CE64DF252C041ACDE6CE3D74340488F4ABB4DF252C004761C13EED74340AF52E99C4DF252C04D342899F5D743401C3DA02D48F252C08F241D76F5D74340F274E36E44F252C00387F75DF5D74340FEBCF44C40F252C0850B5543F5D743405A48246A3DF252C08FB5B430F5D74340CBEDF3623CF252C0AFB94104F5D74340C021A5553BF252C02A7EC6D6F4D74340D9E9D0B93AF252C065A7B7E8F4D743406DEA749A39F252C0AAE9CF09F5D743403B2C59A938F252C0CEBA9825F5D743407867600A3EF252C0FBB61069BCD74340516F4CC541F252C04621396E96D743408BFBACF445F252C014C4321995D7434095925C0648F252C09AC8686194D74340D5CC5A0A48F252C083A5BA8097D74340C0D4640C48F252C0065F26C697D74340C0A0327647F252C036E6F424A7D743407DC51FF046F252C0F02C30DDB4D7434092CC470047F252C0F160A624BBD7434086ECCACA46F252C07D260798C0D74340BA2A34D94EF252C0B70CF406C1D74340418F45425BF252C05F2992D0C1D743408A4B3FF669F252C0593F89C3C2D7434050DC16C26BF252C017CC35E1C2D743406F4F721B6DF252C056C835FAC2D74340C5DDCA746EF252C06FAA6F13C3D743400E12057E6EF252C042E01B14C3D74340CBE364E26FF252C0441D242EC3D743402CDB76FD75F252C0EE6730A0C3D74340	37602		\N	\N	\N
37603	4815	5804	360	9		0103000020E61000000100000016000000C93B873254F252C08C6665FB90D74340AD60894B78F252C0351EA8E54BD743400D298C4B78F252C0DDFFB31281D74340B669FA3E78F252C0B5858A97C3D743402CDB76FD75F252C0EE6730A0C3D74340CBE364E26FF252C0441D242EC3D743400E12057E6EF252C042E01B14C3D74340C5DDCA746EF252C06FAA6F13C3D743406F4F721B6DF252C056C835FAC2D7434050DC16C26BF252C017CC35E1C2D743408A4B3FF669F252C0593F89C3C2D74340418F45425BF252C05F2992D0C1D74340BA2A34D94EF252C0B70CF406C1D7434086ECCACA46F252C07D260798C0D7434092CC470047F252C0F160A624BBD743407DC51FF046F252C0F02C30DDB4D74340C0A0327647F252C036E6F424A7D74340C0D4640C48F252C0065F26C697D74340D5CC5A0A48F252C083A5BA8097D74340718C648F50F252C0C03FA54A94D74340C398F4F752F252C06D19709692D74340C93B873254F252C08C6665FB90D74340	37603		\N	\N	\N
37604	\N	5804	360	9		0103000020E6100000010000000A000000B1A5846678F252C0996B0CE1E1D5434002ADA16478F252C07613DAE0F0D54340251B706078F252C0E1761930F4D54340372D706078F252C0E54C7489F5D54340DB02C3C274F252C024644AC1F7D54340BB79AA436EF252C032207BBDFBD54340F16A0FD864F252C0246B5AA701D64340DE97EFBE66F252C010919FBFE2D54340F8F7BDED74F252C05A5FD10CE2D54340B1A5846678F252C0996B0CE1E1D54340	37604		\N	\N	\N
37606	4815	5804	360	9		0103000020E610000001000000070000008FAD993678F252C054F5D626F8D74340A4B39A3678F252C0F1F6D3B60BD84340331D234A6BF252C0DA0ABED40BD84340EEF4AB486BF252C00521C40B06D843405E6ABC3E6BF252C0F36F67B1FBD74340036AE5556BF252C00C751414F8D743408FAD993678F252C054F5D626F8D74340	37606		\N	\N	\N
37607	\N	7955	360	9		0103000020E6100000010000000900000029EB88347DF252C058AB8A50C3D3434007C911467DF252C0968D4D39C3D34340ED6EBA8D7DF252C056E61031D3D34340BE5356907DF252C027DF73BCD3D34340A4DB81687DF252C0A49F1682D3D34340AE3F66587BF252C020B33B7CD0D343407189857878F252C06DE5EC45CCD3434064F1DCDD7CF252C06BFB8AF4C3D3434029EB88347DF252C058AB8A50C3D34340	37607		\N	\N	\N
