sourceid	sourcetype	sourceshort	sourceshortpart	sourcebookshort	sourceurlsubstitute	sourcegovernment	sourcelawtype	sourceperson	sourcesectiontitle	sourcetitle	sourceidentifier	sourcepublisherlocation	sourcepublisher	sourcepublisheryear	sourcelawisbynumber	sourcelawhasspecialsession	sourceabbreviationverified	sourcetemporarynote
740	state agency reports	Snyder 1988			740	{32}		Snyder, John P.		Supplement to New Jersey Geological Survey Bulletin 67, The Story of New Jersey's Civil Boundaries, 1606-1968		[Trenton, N.J.]	New Jersey Department of Environmental Protection, Division of Water Resources, Geological Survey	1988	f	f	f	
741	newspapers	Woodbury Const.			741	{7588}				Woodbury (N.J.) Constitution					f	f	f	
748	session laws	Mich. Pub. Acts			748	{24}	Act	Michigan		Public and Local Acts of the Legislature of the State of Michigan					f	f	f	
751	newspapers	Hazleton Plain Speaker			751	{4210}				Plain Speaker		Hazleton, Pa.			f	f	f	
752	session laws	Stat. App'x			472	{1}	Act	U.S. Congress		United States Statutes at Large					f	f	f	
753	newspapers	Hazleton Standard-Sentinel			753	{4210}				Standard-Sentinel		Hazleton, Pa.			f	f	f	
756	court reporters	Bucks Cty. L. Rep.			756	{2295}				Bucks County Law Reporter					f	f	f	
757	court reporters	Westmoreland L. J.			757	{2351}				Westmoreland Law Journal					f	f	f	
760	session laws	Del. Laws	(J. Res.)		136	{9}	Joint Resolution	Delaware		Laws of the State of Delaware					f	f	f	
762	session laws	Stat.	(J. Res.)		472	{1}	Joint Resolution	U.S. Congress		United States Statutes at Large					t	f	f	
773	session laws	Stat.	(Proclamation)		472	{1}	Proclamation	U.S. Congress		United States Statutes at Large					t	f	f	
885	research databases	Newberry Comprehensive			885	{1}			Comprehensive Database	Atlas of Historical County Boundaries		Chicago, Ill.	Newberry Library	2010	f	f	f	
886	research databases	Newberry GIS Counties			886	{1}		Siczewicz, Peter, comp.	U.S. Historical Counties	Atlas of Historical County Boundaries		Chicago, Ill.	Newberry Library	2011	f	f	f	
887	research databases	Newberry GIS States			887	{1}		Siczewicz, Peter, comp.	U.S. Historical States and Territories	Atlas of Historical County Boundaries		Chicago, Ill.	Newberry Library	2011	f	f	f	
889	state agency reports	Pa. Internal Affairs 1965			889	{40}		Pennsylvania Department of Internal Affairs, Bureau of Municipal Affairs		Incorporation Dates for Pennsylvania Municipalities		[Harrisburg, Pa.]		1965	f	f	f	
893	newspapers	Mercer Dispatch & Repub.			893	{4635}				Mercer (Pa.) Dispatch and Republican					f	f	f	
894	newspapers	Homestead News-Messenger			894	{4248}				News-Messenger		Homestead, Pa.			f	f	f	
895	session laws	Stat.	(Declaration)		472	{1}	Declaration	U.S. Congress		United States Statutes at Large					t	f	f	
896	federal agency reports	Green Brook 2012			896	{32}									f	f	f	
897	newspapers	Harrisburg Telegraph			897	{4190}				Harrisburg (Pa.) Telegraph					f	f	f	
898	newspapers	Harrisburg Evening News			898	{4190}				Evening News		Harrisburg, Pa.			f	f	f	
899	county histories	Meginness 1895			899	{2327}		Meginness, John F.		Lycoming County: its organization and condensed history for one hundred years		Williamsport, Pa.	Gazette and Bulletin Printing House	1895	f	f	f	
901	county histories	Heller 1920			901	{2334}		Heller, William J., ed.		History of Northampton County, [Pennsylvania], and the Grand Valley of the Lehigh		Boston, Mass.	American Historical Society	1920	f	f	f	
902	court reporters	Somerset Legal J.			902	{2342}				Somerset Legal Journal					f	f	f	
910	session laws	Mich. Pub. Acts App'x. City			748	{24}	Boundary Filing	Michigan		Public and Local Acts of the Legislature of the State of Michigan					t	f	f	
919	court reporters	Schuylkill Legal Rec.			919	{2340}				Schuylkill Legal Record					f	f	f	
921	newspapers	Ebensburg Cambria Tribune			921	{3914}				Cambria Tribune		Ebensburg, Pa.			f	f	f	
923	newspapers	Ebensburg Cambria Freeman			923	{3914}				Cambria Freeman		Ebensburg, Pa.			f	f	f	
925	newspapers	Germantown Telegraph			925	{5002}				Germantown Telegraph		Philadelphia, Pa.			f	f	f	
932	newspapers	Wilkes-Barre Weekly Times			932	{5814}				Wilkes-Barre (Pa.) Weekly Times					f	f	f	
933	newspapers	Scranton Rep.			933	{5245}				Scranton (Pa.) Republican					f	f	f	
934	newspapers	Brownsville Telegraph			934	{3492}				Brownsville (Pa.) Telegraph					f	f	f	
938	newspapers	Mansfield Advertiser			938	{4585}				Mansfield (Pa.) Advertiser					f	f	f	
940	newspapers	Tyrone Herald			940	{5539}				Tyrone (Pa.) Herald					f	f	f	
942	newspapers	Lebanon Courier			942	{4431}				Lebanon (Pa.) Courier					f	f	f	
943	newspapers	Pitts. Gaz.			943	{5029}				Pittsburgh (Pa.) Gazette					f	f	f	
945	newspapers	New Castle Lawrence J.			945	{4786}				Lawrence Journal		New Castle, Pa.			f	f	f	
947	newspapers	Reading Berks & Schuylkill J.			947	{5114}				Berks and Schuylkill Journal		Reading, Pa.			f	f	f	
951	newspapers	Bedford Gaz.			951	{3367}				Bedford (Pa.) Gazette					f	f	f	
955	newspapers	Reynoldsville Star			955	{5126}				Star		Reynoldsville, Pa.			f	f	f	
957	newspapers	Camden Courier-Post			957	{7096}				Courier-Post		Camden, N.J.			f	f	f	
960	newspapers	Beaver Daily Times			960	{3356}				Daily Times		Beaver, Pa.			f	f	f	
961	newspapers	Lock Haven Express			961	{4496}				Lock Haven (Pa.) Express					f	f	f	
966	newspapers	Ind. Dem.			966	{4293}				Indiana (Pa.) Democrat					f	f	f	
967	newspapers	Ind. Cty. Gaz.			967	{4293}				Indiana (Pa.) County Gazette					f	f	f	
968	newspapers	Kittanning Leader-Times			968	{4381}				Leader-Times		Kittanning, Pa.			f	f	f	
970	newspapers	Huntingdon Daily News			970	{4280}				Daily News		Huntingdon, Pa.			f	f	f	
976	newspapers	Greensburg Daily Tribune			976	{4141}				Greensburg (Pa.) Daily Tribune					f	f	f	
977	newspapers	Schwenksville Item			501	{5238}				Schwenksville (Pa.) Item					f	f	f	
978	county histories	Stewart 1917			978	{1824}		Stewart, Frank H.		Notes on Old Gloucester County, New Jersey		Camden, N.J.	Sinnickson Chew &amp. Sons Co.	1917	f	f	f	
979	session laws	N.J. Nevill's Laws			979	{32}	Act	Nevill, Samuel		Acts of the General Assembly of the Province of New-Jersey					f	f	f	
980	session laws	N.J. Allinson's Laws			980	{32}	Act	Allinson, Samuel		Acts of the General Assembly of the Province of New-Jersey, from the Surrender of the Government to Queen Anne, on the 17th Day of April, in the Year of our Lord 1702, to the 14th Day of January 1776		Burlington, N.J.	Isaac Collins	1776	f	f	f	
981	session laws	N.J. Paterson's Laws			981	{32}	Act	Paterson, William		Laws of the State of New Jersey		New Brunswick, N.J.	Abraham Blauvelt	1800	f	f	f	
982	session laws	N.J. Bloomfield's Laws			982	{32}	Act	Bloomfield, Joseph		Laws of the State of New Jersey		Trenton, N.J.	James J. Wilson	1811	f	f	f	
983	session laws	N.J. Grants & Concessions			983	{32}	Act	Leaming, Aaron, and Jacob Spicer		Grants, Concessions, and Original Constitutions of the Province of New Jersey		Philadelphia, Pa.	W. Bradford		f	f	f	
984	county histories	Winfield 1874			984	{1825}		Winfield, Charles H.		History of the County of Hudson, New Jersey: from its earliest settlement to the present time		New York, N.Y.	Kennard &amp; Hay Stationery M'fg and Printing Co.	1874	f	f	f	
985	county histories	Cushing & Sheppard 1883			985	{1822,1824,1833}		Cushing, Thomas, and Charles E. Sheppard		History of the Counties of Gloucester, Salem, and Cumberland, New Jersey, with biographical sketches of their prominent citizens		Philadelphia, Pa.	Everts &amp; Peck	1883	f	f	f	
986	municipal histories	Dally 1873			986	{7587}		Dally, Joseph W.		Woodbridge and Vicinity. The Story of a New Jersey Township		New Brunswick, N.J.	A. E. Gordon	1873	f	f	f	
987	county histories	Clayton 1882			987	{1818,1832}		Clayton, W. Woodford, comp.		History of Bergen and Passaic Counties, New Jersey, with biographical sketches of many of its pioneers and prominent men		Philadelphia, Pa.	Everts &amp; Peck	1882	f	f	f	
988	municipal histories	Murray 1844			988	{7155}		Murray, Nicholas.		Notes, Historical and Biographical, Concerning Elizabeth-Town		Elizabeth-Town, N.J.	E. Sanderson	1844	f	f	f	
990	county histories	Salter 1890			990	{1829,1831}		Salter, Edwin		A History of Monmouth and Ocean Counties, embracing a genealogical record of earliest settlers in Monmouth and Ocean Counties and their descendants. The Indians: Their Language, Manners and Customs. Important Historical Events. The Revolutionary War, Battle of Monmouth, The War of the Rebellion. Names of Officers and Men of Monmouth and Ocean Counties engaged in it, etc., etc		Bayonne, N.J.	E. Gardner &amp; Son	1890	f	f	f	
991	county histories	Shaw 1884			991	{1823,1825}		Shaw, William H., comp.		History of Essex and Hudson Counties, New Jersey		Philadelphia, Pa.	Everts &amp; Peck	1884	f	f	f	
992	county histories	Snell 1881			992	{1826,1834}		Snell, James P., comp.		History of Hunterdon and Somerset Counties, New Jersey, with illustrations and biographical sketches of its prominent men and pioneers		Philadelphia, Pa.	Everts &amp; Peck	1881	f	f	f	
993	county histories	Woodward & Hageman 1883			993	{1819,1827}		Woodward, E. M., and John F. Hageman		History of Burlington and Mercer Counties, New Jersey, with biographical sketches of many of their pioneers and prominent men		Philadelphia, Pa.	Everts &amp; Peck	1883	f	f	f	
1090	session laws	Ohio Laws	(General)		340	{37}	Act	Ohio		General and Local Laws and Joint Resolutions Passed by the General Assembly					f	f	f	
1097	session laws	Ohio Laws	(Local)		340	{37}	Act	Ohio		General and Local Laws and Joint Resolutions Passed by the General Assembly					f	f	f	
1129	session laws	Pa. Stat. at Large App'x			446	{40}	Letters Patent	Cable, Robert L.		Statutes at Large of Pennsylvania from 1682 to 1700		Harrisburg, Pa.	Legislative Reference Bureau	2001	t	f	f	
1138	session laws	Ohio Laws	(H. B.)		340	{37}	Act	Ohio		General and Local Laws and Joint Resolutions Passed by the General Assembly					f	f	f	
1139	session laws	Ohio Laws	(S. B.)		340	{37}	Act	Ohio		General and Local Laws and Joint Resolutions Passed by the General Assembly					f	f	f	
1144	county histories	Smith 1883			1144	{2289}		Smith, Robert Walker		History of Armstrong County, Pennsylvania		Chicago, Ill.	Waterman, Watkins &amp; Co.	1883	f	f	f	
1146	county histories	Scott 1888			1146	{2319}		Scott, Kate M., ed.		History of Jefferson County, Pennsylvania with illustrations and biographical sketches of some of its prominent men and pioneers		Syracuse, N.Y.	D. Mason &amp; Co.	1888	f	f	f	
1147	newspapers	Everett Press			1147	{3965}				Everett (Pa.) Press					f	f	f	
1149	county histories	Schalck & Henning 1907			1149	{2340}		Schalck, Adolf F., and D. C. Henning		History of Schuylkill County, Pennsylvania			State Historical Association	1907	f	f	f	
1150	newspapers	Butler Dem. Herald			1150	{3518}				Democratic Herald		Butler, Pa.			f	f	f	
1151	county histories	Leeson Elk-Forest-McKean 1890			1151	{2310,2313,2328}		Leeson, M. A., comp.		History of the Counties of McKean, Elk and Forest, Pennsylvania		Chicago, Ill.	J. H. Beers &amp. Co.	1890	f	f	f	
1153	cadastral maps	Holme 1687			1153	{40}		Holme, Thomas		A map of the improved part of the Province of Pennsilvania in America				1687?	f	f	f	
1154	county histories	Hollister 1857			1154	{2321,2326}		Hollister, Horace		Contributions to the History of the Lackawanna Valley		New York, N.Y.	W. H. Tinson	1857	f	f	f	
1155	newspapers	Chambersburg Public Opinion			1155	{3586}				Public Opinion		Chambersburg, Pa.			f	f	f	
1169	maps	Howell 1792			1169	{40}		Howell, Reading		A map of the state of Pennsylvania		London	James Phillps	1792	f	f	f	
1170	county histories	Montgomery 1909			1170	{2292}		Montgomery, Morton L.		Historical and Biographical Annals of Berks County, Pennsylvania		Chicago, Ill.	J. H. Beers &amp; Co.	1909	f	f	f	
1171	county histories	Pearce 1866			1171	{2326}		Pearce, Stewart		Annals of Luzerne County		Philadelphia, Pa.	J. B. Lippincott &amp; Co.	1866	f	f	f	
1172	municipal histories	Allinson & Penrose 1887			1172	{2337,5002}		Allinson, Edward P., and Boies Penrose		Philadelphia, 1681-1887: A History of Municipal Development		Philadelphia, Pa.	Allen, Lane &amp; Scott	1887	f	f	f	
1180	maps	Morris Pa. 1848			1180	{40}									f	f	f	
1209	session laws	Stat.	(Treaty)		472	{1}	Treaty	U.S. Congress		United States Statutes at Large					t	f	f	
1210	session laws	Stat.	(Public Law)		472	{1}	Act	U.S. Congress		United States Statutes at Large					t	f	f	
1211	session laws	N.Y. Laws	(County)		328	{34}	County Law	New York		Laws of the State of New York					f	f	f	
1224	newspapers	Princeton Herald			1224	{7436}				Princeton (N.J.) Herald					f	f	f	
1360	court reporters	N.J. Misc.			1360	{32}				New Jersey Miscellaneous Reports					f	f	f	
1361	court reporters	N.J.			1361	{32}				New Jersey Reports					f	f	f	
1522	newspapers	Dallas Post			1522	{3753}				Dallas (Pa.) Post					f	f	f	
1523	county histories	Lehigh Cty. Hist. Soc'y Proc.			1523	{2325}				Proceedings of the Lehigh County Historical Society					f	f	f	
1525	state agency reports	Pa. Internal Affairs Rep.			1525	{40}									f	f	f	
1527	atlases	Nichols 1874			1527	{2300}		Nichols, Beach		Atlas of Centre County, Pennsylvania		Philadelphia, Pa.	A. Pomeroy	1874	f	f	f	
1528	municipal histories	Greensburg 1949			1528	{4141}		Greensburg Sesqui-Centennial Corporation		City of Greensburg: "A History"		Greensburg, Pa.	Westmoreland County Historical Society	1949	f	f	f	
1529	session laws	Pa. Smith's Laws			436	{40}	Deed	Pennsylvania		Laws of the Commonwealth of Pennsylvania from the fourteenth day of October, one thousand seven hundred: republished under the authority of the legislature with notes and references		Philadelphia, Pa.	John Bioren	1810-1822	f	f	f	
1530	newspapers	Sewickley Herald			1530	{5254}				Sewickley (Pa.) Herald					f	f	f	
1531	municipal histories	Craft 1891			1531	{5245}		Craft, David, et al.		History of Scranton, Penn.		Dayton, Ohio	United Brethren Publishing House	1891	f	f	f	
1532	municipal histories	Gratz 1997			1532	{4120}				A Comprehensive History of the Town of Gratz, Pennsylvania			Gratz Historical Society	1997	f	f	f	
1533	maps	Reading 1961			1533	{5114}									f	f	f	
1535	newspapers	McConnellsburg Fulton Cty. News			1535	{4614}				Fulton County News		McConnellsburg, Pa.			f	f	f	
1536	newspapers	Salisbury Somerset Cty. Star			1536	{5215}				Somerset County Star		Salisbury, Pa.			f	f	f	
1539	municipal histories	Potter 1949			1539	{3723}				Early History Of Coudersport		Coudersport, Pa.	Potter County Historical Society	1949	f	f	f	
1547	newspapers	Westfield Union Cty. Standard			1547	{7574}				Union County (N.J.) Standard		Westfield, N.J.			f	f	f	
1548	newspapers	Elizabeth Daily J.			1548	{7155}				Elizabeth (N.J.) Daily Journal					f	f	f	
1549	newspapers	Plainfield Constitutionalist			1549	{7427}				Constitutionalist		Plainfield, N.J.			f	f	f	
1554	municipal histories	Wall 1931			1554	{7368}		Wall, John P.		Chronicles of New Brunswick, New Jersey		New Brunswick, N.J.	Thatcher-Anderson Company	1931	f	f	f	
1555	municipal histories	Benedict 1925			1555	{7368}		Benedict, William H.		New Brunswick in History		New Brunswick, N.J.	William H. Benedict	1925	f	f	f	
1572	blogs	Lawton 2018			1572	{5580}		Lawton, Arthur J.		18th Century Settlement Land Acquisition in Friedrichstown				2018?	f	f	f	
1573	serials	Henckel Fam. Rec.			1573	\N				Henckel Family Records		New Market, Va.	Henkel Press		f	f	f	
1574	serials	Perkiomen Region			1574	{2332,2292,2325}		Dotterer, Henry S., ed.		Perkiomen Region, Past and Present		Philadelphia, Pa.	Perkiomen Publishing Company		f	f	f	
1575	local histories	McMinn 1886			1575	{5580}		McMinn, Edwin		A German hero of the colonial times of Pennsylvania; or the life and times of Henry Antes		Moorestown, N.J.		1886	f	f	f	
1576	serials	Bull. Hist. Soc'y Montgomery Cty.			1576	{2332}				Bulletin of the Historical Society of Montgomery County, Pennsylvania		Norristown, Pa.	Historical Society of Montgomery County, Pennsylvania		f	f	f	
1577	newspapers	St. Marys Daily Press			1577	{5206}				Daily Press		Saint Marys, Pa.			f	f	f	
1578	session laws	Va. Hening's Laws			1578	{48}	Act	Hening, William Waller		Statutes at Large; being a collection of all of the laws of Virginia, from the first session of the Legislature, in the year 1619				1809-1823	f	f	f	
1579	newspapers	Phila. Pa. Packet			1579	{5002}				Pennsylvania Packet		Philadelphia, Pa.			f	f	f	
1580	maps	U.S. Geo. Surv. Topo. Mp.			1580	{1}		U.S. Department of the Interior, Geological Survey		USGS Historical Topographic Map Collection					f	f	f	
1581	maps	Pa. Dep't Trans. Cty. Mp.			1581	{40}		Pennsylvania Department of Transportation, Bureau of Planning and Research, Geographic Information Division		County Type 10 Maps (Historic)					f	f	f	
1582	maps	Pa. Dep't Trans. Mun. Mp.			1582	{40}		Pennsylvania Department of Transportation, Bureau of Planning and Research, Geographic Information Division		Municipal Master Maps					f	f	f	
1583	atlases	Beers & Sanford 1869			1583	{2294}		Beers, F. W., and G. P. Sanford		Atlas of Bradford Co., Pennsylvania	Library of Congress Atlas 2463	New York, N.Y.	F.W. Beers, A.D. Ellis &amp; G.G. Soule	1869	f	f	f	
1584	atlases	Nichols 1873			1584	{2293,2317}		Nichols, Beach		Atlas of Blair and Huntingdon Counties, Pennsylvania		Philadelphia, Pa.	A. Pomeroy &amp. Co.	1873	f	f	f	
1585	atlases	Bridgens & Witmer 1873			1585	{2301}		Bridgens, H. F., and A. R. Witmer		Atlas of Chester Co., Pennsylvania	Library of Congress Atlas 3018	Safe Harbor, Pa.	A. R. Witmer	1873	f	f	f	
1587	atlases	Everts & Stewart 1875			1587	{2308}		Everts &amp; Stewart		Combination atlas map of Dauphin County, Pennsylvania	Pennsylvania State Archives Manuscript Group 11 (Map Collection), Map No. 795; Library of Congress Atlas 2473	Philadelphia, Pa.	Everts &amp; Stewart	1875	f	f	f	
1588	municipal maps	York 2014			1588	{5875}		York (Pa.) Department of Fire/Rescue Services, Office of Emergency Planning		City Annexations by Year				2014	f	f	f	
1589	atlases	Beers Luzerne 1873			1589	{2326}		Beers, D. G.		Atlas of Luzerne County, Pennsylvania		Philadelphia, Pa.	A. Pomeroy &amp.; Co.	1873	f	f	f	
1590	maps	Montgomery 1955			1590	{2332}		Montgomery County (Pa.)		Map of Montgomery County, Pennsylvania		Philadelphia, Pa.	Harry D. Reichert Co.	1955	f	f	f	
1591	atlases	Walling & Gray 1872			1591	{40}		Walling, Henry Francis, and O. W. Gray		New topographical atlas of the state of Pennsylvania		Philadelphia, Pa.	Stedman, Brown &amp; Lyon	1872	f	f	f	
1592	atlases	Beers 1876			1592	{2342}		Beers, F. W.		County atlas of Somerset, Pennsylvania	Library of Congress Atlas 2495	New York, N.Y.	F.W. Beers &amp; Co.	1876	f	f	f	
1593	atlases	Nichols 1877			1593	{2320,2330,2336}		Nichols, Beach		Atlas of Perry, Juniata and Mifflin Counties, Pennsylvania		Philadelphia, Pa.	Pomeroy, Whitman &amp. Co.	1877	f	f	f	
1594	atlases	Everts 1876			1594	{2306}		Everts, Ensign &amp; Everts		Combination atlas map of Crawford County, Pennsylvania		Philadelphia, Pa.	Everts, Ensign &amp; Everts	1876	f	f	f	
1595	atlases	Baist Delaware 1902			1595	{2309}		Baist, G. Wm.		Baist's Atlas of Properties in Delaware County, southwest suburbs of Philadelphia		Philadelphia, Pa.	G. Wm. Baist	1902	f	f	f	
1596	atlases	Smith 1889			1596	{2309}				Atlas of properties along the Philadelphia, Wilmington and Baltimore R.R., Baltimore &amp; Ohio R.R., Phila. &amp; West-Chester R.R., and part of Philada. &amp; Reading R.R., Philadelphia to Chester and Elwyn Sta.		Philadelphia, Pa.	J. L. Smith	1889	f	f	f	
1597	atlases	Sanborn 1920			1597	{4153}		Sanborn Map Company		Grove City, Mercer County, Pennsylvania		New York, N.Y.	Sanborn Map Company	1920	f	f	f	
1598	atlases	Hopkins 1871			1598	{2332}		G. M. Hopkins &amp; Company		Atlas of the county of Montgomery and the state of Pennsylvania	Pennsylvania State Archives Manuscript Group 11 (Map Collection), Map No. 790	Philadelphia, Pa.	Atlas of the county of Montgomery and the state of Pennsylvania	1871	f	f	f	
1599	state agency reports	Pa. Dep't Pub. Instruction Statistical Rep.			1599	{40}		Pennsylvania Department of Public Instruction, Superintendent		Statistical Report of the Superintendent of Public Instruction of the Commonwealth of Pennsylvania					f	f	f	
1600	newspapers	New Brunswick Daily Times			1600	{7368}				Daily Times		New Brunswick, N.J.			f	f	f	
1607	county histories	Camden Hist.			1607	{1820}		Camden County Historical Society		Camden History					f	f	f	
1608	state histories	N.J. Hist. Soc'y Proc.			1608	{32}				Proceedings of the New Jersey Historical Society					f	f	f	
1609	atlases	Hopkins 1900			1609	{2288}		G. M. Hopkins &amp; Co.		Real estate plat book of the south-eastern vicinity of Pittsburgh, Penn.	Library of Congress Atlas 2548	Philadelphia, Pa.	G. M. Hopkins &amp; Co.	1900	f	f	f	
1610	atlases	Hopkins 1882			1610	{2288}		Hopkins, G. M.		Atlas of the cities of Pittsburgh &amp; Allegheny	Library of Congress Atlas 2540	Philadelphia, Pa.	G. M. Hopkins	1882	f	f	f	
1611	atlases	Hopkins 1886			1611	{2288}		Hopkins, G. M.		Atlas of the vicinity of the cities Pittsburgh and Allegheny, Penn.	Library of Congress Atlas 2541	Philadelphia, Pa.	G. M. Hopkins	1886	f	f	f	
1612	atlases	Hopkins Allegheny 1876			1612	{2288}		Hopkins, G. M.		Atlas of the county of Allegheny, Penna.	Library of Congress Atlas 2459	Philadelphia, Pa.	G. M. Hopkins	1876	f	f	f	
1613	atlases	Hopkins 1895			1613	{2288}		Hopkins. G. M.		Real estate plat book of the eastern vicinity of Pittsburgh, Penna.	Library of Congress Atlas 2544	Philadelphia, Pa.	G. M. Hopkins	1895	f	f	f	
1614	atlases	Hopkins 1903			1614	{2288}		G. M. Hopkins &amp; Co.		Real estate plat-book of the eastern vicinity of Pittsburgh, Penna.	Library of Congress Atlas 2549	Philadelphia, Pa.	G. M. Hopkins &amp; Co.	1903	f	f	f	
1615	atlases	Hopkins 1915			1615	{2288}				Real estate plat-book of the Eastern Vicinity of Pittsburgh		Philadelphia, Pa.	G. M. Hopkins &amp; Co.	1915	f	f	f	
1616	atlases	Hopkins 1896			1616	{2288}		G. M. Hopkins		Real estate plat-book of the southern vicinity of Pittsburgh, Penna.	Library of Congress Atlas 2545	Philadelphia, Pa.	G. M. Hopkins	1896	f	f	f	
1617	atlases	Hopkins 1905			1617	{2288}		G. M. Hopkins &amp; Co.		Real estate plat book of the southern vicinity of Pittsburgh, Penna.	Library of Congress Atlas 2552	Philadelphia, Pa.	G. M. Hopkins &amp; Co.	1905	f	f	f	
1618	atlases	Hopkins 1916			1618	{2288}				Plat-book of the city of Pittsburgh: South Side and Southern Vicinity of Pittsburgh (East Half)		Philadelphia, Pa.	G. M. Hopkins &amp; Co.	1916	f	f	f	
1619	atlases	Hopkins 1906			1619	{2288}		G. M. Hopkins &amp; Co.		Real estate plat-book of the northern vicinity of Pittsburgh, Penn.	Library of Congress Atlas 2553	Philadelphia, Pa.	G. M. Hopkins &amp; Co.	1906	f	f	f	
1621	newspapers	Wilkes-Barre Luzerne Fed'st & Susquehannah Int'g'r			1621	{5814}				Luzerne Federalist; and Susquehannah Intelligencer		Wilkes-Barre, Pa.			f	f	f	
1623	newspapers	Pottsville Miners' J. & Gen. Advertiser			1623	{5083}				Miners' Journal, and Pottsville (Pa.) General Advertiser					f	f	f	
1627	municipal histories	Lee 1895			1627	{7528}		Lee, Francis Bazley, comp.		History of Trenton, New Jersey		Trenton, N.J.	John L. Murphy	1895	f	f	f	
1628	state histories	Heston 1924			1628	{32}		Heston, Alfred M., ed.		South Jersey: A History		New York, N.Y. and Chicago, Ill.	Lewis Publishing Company	1924	f	f	f	
1629	atlases	Beers Snyder & Union 1868			1629	{2341,2346}		Beers, D. G.		Atlas of Union &amp; Snyder Counties, Pennsylvania, from actual surveys		Philadelphia, Pa.	Pomeroy &amp; Beers	1868	f	f	f	
1630	state publications	Pa. Sup. Exec. Cnl M.			1630	{40}		Pennsylvania		Minutes of the Supreme Executive Council of Pennsylvania, from its organization to the termination of the Revolution		Harrisburg, Pa.	Theo. Fenn &amp; Co.	1852-1853	f	f	f	
1631	county histories	Leckey 1977			1631	{2316}		Leckey, Howard L.		Tenmile Country and Its Pioneer Families: A Genealogical History of the Upper Monongahela Valley		Waynesburg, Pa.	Greene County Historical Society		f	f	f	
1633	serials	Lanc. Hist. Soc.			1633	{2322}		Lancaster County Historical Society		Historical Papers and Addresses of the Lancaster County Historical Society		Lancaster, Pa.			f	f	f	
1634	atlases	Bien 1901			1634	{40}		Bien, Julius		Atlas of the State of Pennsylvania		New York, N.Y.	Julius Bien &amp; Company	1901	f	f	f	
1637	atlases	Sanborn 1916			1637	{5066}		Sanborn Map Company		Portage, Cambria County, Pennsylvania		New York, N.Y.	Sanborn Map Company	1916	f	f	f	
1638	newspapers	Lancaster Intelligencer J.			1638	{4404}				Intelligencer Journal		Lancaster, Pa.			f	f	f	
1640	atlases	Beers Indiana 1871			1640	{2318}		Beers, F. W.		Atlas of Indiana County, Pennsylvania : from actual surveys	Library of Congress Atlas 2478	New York, N.Y.	F.W. Beers &amp; Co.	1871	f	f	f	
1643	county histories	Rupp 1845			1643	{2299,2325,2334,2331,2340}		Rupp, I. Daniel		History of Northampton, Lehigh, Monroe, Carbon, and Schuylkill counties: containing a brief history of the first settlers, topography of township, notices of leading events, incidents, and interesting facts in the early history of these counties: with an appendix, containing matters of deep interest.		Harrisburg, Pa.	Hickok &amp; Cantine	1845	f	f	f	
1644	state histories	Dunn 1981-1987			1644	{40}		Dunn, Mary Maples, and Richard S. Dunn, eds.		Papers of William Penn		Philadelphia, Pa.	University of Pennsylvania Press	1981-1987	f	f	f	
1645	municipal histories	Learned 1908			1645	{5002}		Learned, Marion Dexter		Life of Francis Daniel Pastorius: The Founder of Germantown		Philadelphia, Pa.	William J. Campbell	1908	f	f	f	
1646	newspapers	Hightstown Gaz.			1646	{7241}				Hightstown (N.J.) Gazette					f	f	f	
1647	placeholder laws	Placeholder			1647	{1,32,40}	Act								f	f	f	
1655	newspapers	Cape May Herald			1655	{7097}				Cape May (N.J.) Herald					f	f	f	
1662	state histories	O'Callaghan 1868			1662	{34}		O'Callaghan, E. B.		Laws and Ordinances of New Netherland, 1638-1674		Albany, N.Y.	Weed, Parsons and Company	1868	f	f	f	
1663	municipal histories	Murray 1908			1663	{3319}		Murray, Louise Welles		A history of old Tioga Point and early Athens, Pennsylvania		Wilkes-Barre, Pa.	Raeder Press	1908	f	f	f	
1664	municipal histories	Heverly 1886			1664	{5506}		Heverly, C. F.		History of the Towandas, 1776-1886		Towanda, Pa.	Reporter-Journal Printing Company	1886	f	f	f	
1665	state publications	N.J. Arc.			1665	{34}									f	f	f	
1666	county histories	Holmes 1922			1666	{1829}		Holmes, Frank R., ed.		History of Monmouth County, New Jersey, 1664-1920		New York, N.Y. and Chicago, Ill.	Lewis Historical Publishing Company	1922	f	f	f	
